"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000009790",246.396071296383,1.96709404040303,0.587250778167403,3.34966612822825,0.00080909020671717,0.0171665562838165
"ENSG00000127022",299.272917384947,1.74645830676954,0.521385391667649,3.34964948132417,0.00080913882912445,0.0171665562838165
"ENSG00000168300",66.9477829927748,1.70728171476075,0.509537456263715,3.35065007247893,0.000806221105974153,0.0171665562838165
"ENSG00000087365",340.472902622334,1.83158290838111,0.546850895603243,3.34932780234482,0.000810078924166991,0.0171665562838165
"ENSG00000129351",276.827461376019,1.62187838347607,0.484018982908344,3.35085697203573,0.000805619006420104,0.0171665562838165
"ENSG00000213445",201.803029476355,2.21539501373124,0.661994004546749,3.3465484559004,0.000818243772590451,0.0173065345747148
"ENSG00000154874",68.688526231664,1.57191770740477,0.469859625423656,3.3455049600983,0.000821328901517982,0.0173456252801004
"ENSG00000117616",196.269398095166,2.01957664327384,0.603880231379765,3.34433309508981,0.000824806421402267,0.0173928728531188
"ENSG00000169442",57.0333637023526,2.30098702900805,0.688151563750833,3.34372128207675,0.00082662740462739,0.0174050992418767
"ENSG00000266412",134.966990741933,2.64887902340978,0.79278234959581,3.34124369035243,0.000834039839307896,0.0175348435781329
"ENSG00000110448",115.719428777924,1.4509798900491,0.434326823327547,3.34075588270735,0.000835506502846604,0.0175393827685897
"ENSG00000198218",128.690835101054,1.6624447631776,0.498138760438703,3.33731260284486,0.000845927456654562,0.0175950354069683
"ENSG00000182568",230.993309962212,1.70108828245875,0.5097202081351,3.33729810062363,0.000845971600885406,0.0175950354069683
"ENSG00000145779",120.237258764897,1.68587508422726,0.504859571829311,3.33929507985488,0.00083991293754938,0.0175950354069683
"ENSG00000181163",174.547809660397,1.81023643275915,0.542365347460406,3.33766978520194,0.000844840880704521,0.0175950354069683
"ENSG00000172757",162.604008949921,1.76268323194221,0.527997243026195,3.33843264377568,0.000842524540142031,0.0175950354069683
"ENSG00000171862",141.86820735282,1.95725096390023,0.586533635037072,3.33697992234753,0.000846940661748813,0.0175950354069683
